time, vs, hs, dist, alt, ang,weight,acc,fuel
0,24.8,932,181000,13748,58.3,286,0,121
10,24.50951047,919.7287918,171744.4543,13499.80628,58,284.4191458,1.264059823,119.4191458
20,25.10859339,908.6995912,162606.6037,13250.73752,58,283.1036082,1.418159786,118.1036082
30,25.01254169,896.3792398,153587.0802,13000.09599,58,281.6544321,1.457891971,116.6544321
40,25.01246034,884.0237292,144691.2036,12750.04354,58,280.2117578,1.465449279,115.2117578
50,25.01817532,871.4878327,135919.7205,12499.86535,58,278.7536788,1.492466586,113.7536788
60,25.01611751,858.7466148,127274.765,12249.69897,58,277.2800187,1.514603769,112.2800187
70,25.01659656,845.8136066,118758.2672,11999.5349,58,275.7920654,1.53793741,110.7920654
80,25.01656882,832.6809439,110372.1952,11749.36895,58,274.2893201,1.561610506,109.2893201
90,25.01658214,819.3464399,102118.5578,11499.20325,58,272.7718665,1.585607768,107.7718665
100,25.01660053,805.806934,93999.39024,11249.03731,58,271.2396782,1.609989628,106.2396782
110,25.01660795,792.0592484,86016.76013,10998.87126,58,269.6927442,1.634742752,104.6927442
120,25.01661186,778.1001945,78172.76672,10748.70515,58,268.1310598,1.65987699,103.1310598
130,25.01661016,763.9265192,70469.54158,10498.53904,58,266.5546239,1.685397673,101.5546239
140,25.01660302,749.5349231,62909.24901,10248.37297,58,264.9634404,1.71131073,99.96344043
150,25.01659026,734.9220556,55494.0866,9998.207009,58,263.3575181,1.737622222,98.35751815
160,25.01657171,720.0845144,48226.28575,9748.041203,58,261.736871,1.764338267,96.73687096
170,25.01654723,705.0188451,41108.11214,9497.875616,58,260.1015179,1.791465085,95.10151794
180,25.01651664,689.7215401,34141.86631,9247.710307,58,258.4514835,1.819008994,93.45148351
190,25.01647979,674.1890378,27329.88415,8997.545338,58,256.7867976,1.846976404,91.78679759
200,25.01643652,658.417722,20674.53748,8747.380772,58,255.1074957,1.875373828,90.10749573
210,25.01638666,642.4039208,14178.23459,8497.216676,58,253.4136192,1.904207876,88.41361924
220,25.01633005,626.1439059,7843.420783,8247.053115,58,251.7052154,1.933485263,86.70521537
230,25.01626654,609.6338915,1672.578977,7996.890158,58,249.9823374,1.963212803,84.98233743
240,25.01619594,592.870034,-4331.769744,7746.727875,58,248.2450449,1.993397418,83.24504494
250,25.01611811,575.8484302,-10167.06553,7496.566338,58,246.4934038,2.024046134,81.49340376
260,25.01603288,558.5651172,-15830.70917,7246.405619,58,244.7274863,2.055166088,79.72748626
270,25.01594008,541.0160712,-21320.06149,6996.245794,58,242.9473715,2.086764524,77.94737148
280,25.01583956,523.1972063,-26632.44275,6746.08694,58,241.1531452,2.118848798,76.1531452
290,25.01573114,505.1043741,-31765.13199,6495.929134,58,239.3449002,2.151426381,74.34490018
300,25.01561468,486.7333621,-36715.36642,6245.772456,58,237.5227362,2.184504854,72.52273623
310,25.01549,468.0798933,-41480.34077,5995.616989,58,235.6867604,2.218091921,70.68676039
320,25.01535696,449.1396248,-46057.20664,5745.462813,58,233.8370871,2.252195399,68.83708706
330,25.01521539,429.908147,-50443.07185,5495.310015,58,231.9738381,2.286823227,66.97383815
340,25.01506514,410.3809824,-54634.99972,5245.15868,58,230.0971432,2.321983468,65.09714318
350,25.01490606,390.5535848,-58630.00844,4995.008897,58,228.2071395,2.357684306,63.20713949
360,25.01473799,370.4213381,-62425.07036,4744.860753,58,226.3039723,2.393934051,61.3039723
370,25.01456079,349.979555,-66017.11125,4494.71434,58,224.3877949,2.430741143,59.38779488
380,25.01437432,329.2234765,-69403.00964,4244.56975,58,222.4587687,2.46811415,57.45876869
390,25.01417842,308.1482702,-72579.59607,3994.427076,58,220.5170635,2.506061772,55.51706346
400,25.01397297,286.7490295,-75543.65232,3744.286414,58,218.5628574,2.544592842,53.56285736
410,25.01375783,265.0207723,-78291.91071,3494.14786,58,216.5963371,2.58371633,51.59633713
420,25.01353288,242.95844,-80821.05332,3244.01151,58,214.6176981,2.623441342,49.61769814
430,25.01329797,220.5568961,-83127.71122,2993.877465,58,212.6271446,2.663777127,47.62714455
440,25.013053,197.8109253,-85208.46367,2743.745825,58,210.6248894,2.704733074,45.62488941
450,25.01279785,174.7152321,-87059.83733,2493.61669,58,208.6111547,2.746318716,43.61115475
460,25.0125324,151.2644395,-88678.30549,2243.490163,58,206.5861717,2.788543733,41.58617169
470,25.01225657,127.4530878,-90060.28719,1993.366347,58,204.5501805,2.831417954,39.55018054
480,25.04755081,103.3328071,-91202.35596,1743.114806,58,202.5093062,2.859952783,37.50930616
490,25.16143614,78.9683323,-92101.88292,1492.077456,58,200.4684318,2.88906861,35.46843179
500,25.35314253,54.35466848,-92756.39877,1239.472582,58,198.4275574,2.918783365,33.42755741
510,25.62185149,29.4866657,-93163.38344,984.5264334,58,196.386683,2.949115718,31.38668303
520,25.96669359,4.359012735,-93320.26445,726.4737243,58,194.3458086,2.980085126,29.34580865
530,26.30828635,-0.698155024,-93315.81281,464.8094123,58,192.3049343,3.011711872,27.30493427
540,23.07189389,0,-93313.71834,211.064924,37,190.2640599,3.04401711,25.26405989
546,16.51132294,0,-93313.71834,94.38071817,19,189.0441141,3.029292938,24.04411414
547,15.22137967,0,-93313.71834,79.1593385,16,188.8423161,3.032530059,23.84231614
548,13.88857316,0,-93313.71834,65.27076534,13,188.6405181,3.035774104,23.64051814
549,12.52091929,0,-93313.71834,52.74984605,10,188.4387201,3.039025098,23.43872014
550,11.12654662,0,-93313.71834,41.62329942,7,188.2369221,3.042283063,23.23692214
551,9.713674409,0,-93313.71834,31.90962501,4,188.0351241,3.04554802,23.03512414
552,8.290590241,0,-93313.71834,23.61903477,1,187.8333261,3.048819993,22.83332614
553,6.863770248,0,-93313.71834,16.75526453,0,187.6315281,3.052099003,22.63152814
554,5.433671245,0,-93313.71834,11.32159328,0,187.4297301,3.055385075,22.42973014
555,4.00028617,0,-93313.71834,7.32130711,0,187.2279321,3.05867823,22.22793214
556,2.563607941,0,-93313.71834,4.757699169,0,187.0261341,3.061978491,22.02613414
557,1.12362945,0,-93313.71834,3.634069719,0,186.9129141,1.718982348,21.91291414
558,1.026647102,0,-93313.71834,2.607422618,0,186.7996941,1.72002423,21.79969414
559,0.928622872,0,-93313.71834,1.678799746,0,186.6864741,1.721067375,21.68647414
560,0.829555497,0,-93313.71834,0.849244249,0,186.5732541,1.722111787,21.57325414
561,0.72944371,0,-93313.71834,0.119800538,0,186.4600341,1.723157466,21.46003414
